Label,Field Type,Options/Other Details,Sub Category,Category,Unique ID,Description,Is Required,Is Hidden
Spot Opened Up,Dropdown,Yes | No | Unknown,Waitlist Issues,Booking & Technology,BT-WAIT-007,Did spots become available,No,No
Resolution,Dropdown,Added to Class | Moved to Different Class | Credits Preserved | Still on Waitlist,Waitlist Issues,Booking & Technology,BT-WAIT-008,How was it handled,Yes,No
Class to Cancel,Dropdown,Classes list,Cancellation Problems,Booking & Technology,BT-CANC-001,Which class they tried to cancel,Yes,No
Instructor,Dropdown,Trainers list,Cancellation Problems,Booking & Technology,BT-CANC-002,Instructor name,Yes,No
Class Date & Time,DateTime,Date/time picker,Cancellation Problems,Booking & Technology,BT-CANC-003,Scheduled class time,Yes,No
Cancellation Attempt Time,DateTime,Date/time picker,Cancellation Problems,Booking & Technology,BT-CANC-004,When they tried to cancel,Yes,No
Hours Before Class,Number,Auto-calculated if possible,Cancellation Problems,Booking & Technology,BT-CANC-005,Time gap between cancellation attempt and class,Yes,No
Issue Type,Dropdown,Unable to Cancel via App | Late Cancellation Fee Charged | Cancellation Window Unclear | Credits Not Returned | Other,Cancellation Problems,Booking & Technology,BT-CANC-006,Type of cancellation issue,Yes,No
Fee Charged,Number,Amount in INR,Cancellation Problems,Booking & Technology,BT-CANC-007,If late fee was charged,No,No
Credits Returned,Dropdown,Yes | No | Partial | Unknown,Cancellation Problems,Booking & Technology,BT-CANC-008,Were credits/classes restored,Yes,No
Manual Cancellation Done,Checkbox,Yes/No,Cancellation Problems,Booking & Technology,BT-CANC-009,Did staff cancel manually,Yes,No
Class,Dropdown,Classes list,Class Check-in,Booking & Technology,BT-CHKIN-001,Which class,Yes,No
Instructor,Dropdown,Trainers list,Class Check-in,Booking & Technology,BT-CHKIN-002,Instructor name,Yes,No
Class Date & Time,DateTime,Date/time picker,Class Check-in,Booking & Technology,BT-CHKIN-003,Class date and time,Yes,No
Issue Type,Dropdown,QR Code Not Working | QR Code Not Scanning | Manual Check-in Delayed | Attendance Not Recorded | Check-in System Down | Other,Class Check-in,Booking & Technology,BT-CHKIN-004,Check-in problem type,Yes,No
Check-in Method Attempted,Dropdown,QR Code Scan | Manual by Staff | Self Check-in Kiosk | Other,Class Check-in,Booking & Technology,BT-CHKIN-005,How they tried to check in,Yes,No
Successfully Checked In,Dropdown,Yes - Eventually | No - Attended Without Check-in | No - Did Not Attend,Class Check-in,Booking & Technology,BT-CHKIN-006,Final outcome,Yes,No
Credits Deducted Correctly,Dropdown,Yes | No | Unknown,Class Check-in,Booking & Technology,BT-CHKIN-007,Was the class correctly charged,Yes,No
Manual Override Required,Checkbox,Yes/No,Class Check-in,Booking & Technology,BT-CHKIN-008,Did staff need to intervene,Yes,No
Issue Type,Dropdown,Missing Class Reminder | Missing Cancellation Confirmation | Too Many Notifications | Wrong Information in Notification | Notification Delay | Other,Notifications,Booking & Technology,BT-NOTIF-001,Type of notification issue,Yes,No
Notification Type,Dropdown,Email | SMS | Push Notification | In-App | All Channels,Notifications,Booking & Technology,BT-NOTIF-002,Which notification channel,Yes,No
Related Class,Dropdown,Classes list,Notifications,Booking & Technology,BT-NOTIF-003,If related to specific class,No,No
Expected Notification Time,DateTime,Date/time picker,Notifications,Booking & Technology,BT-NOTIF-004,When notification should have arrived,No,No
Actual Notification Time,DateTime,Date/time picker,Notifications,Booking & Technology,BT-NOTIF-005,When notification actually arrived (if late),No,No
Client Notification Preference,Text,Free text,Notifications,Booking & Technology,BT-NOTIF-006,Client's stated preference,No,No
Preferences Updated,Checkbox,Yes/No,Notifications,Booking & Technology,BT-NOTIF-007,Were settings adjusted,No,No
Issue Type,Dropdown,Cannot Update Profile | Incorrect Information Displayed | Cannot Upload Photo | Cannot Change Password | Cannot Update Preferences | Other,Profile Management,Booking & Technology,BT-PROF-001,Profile issue type,Yes,No
Field Affected,Dropdown,Name | Email | Phone | Address | Emergency Contact | Photo | Payment Method | Preferences | Other,Profile Management,Booking & Technology,BT-PROF-002,Which profile field has issue,Yes,No
Platform,Dropdown,iOS App | Android App | Website (Desktop) | Website (Mobile),Profile Management,Booking & Technology,BT-PROF-003,Where they tried to update,Yes,No
Information Corrected,Checkbox,Yes/No,Profile Management,Booking & Technology,BT-PROF-004,Was profile manually updated by staff,Yes,No
Backend Update Required,Checkbox,Yes/No,Profile Management,Booking & Technology,BT-PROF-005,Does this need tech team intervention,No,Yes
Issue Type,Dropdown,Favorite Instructor Not Showing | Schedule Not Updating | Wrong Studio Display | Missing Classes | Incorrect Times Displayed | Other,Class Visibility,Booking & Technology,BT-VIS-001,Visibility issue type,Yes,No
Affected Instructor,Dropdown,Trainers list,Class Visibility,Booking & Technology,BT-VIS-002,If specific to instructor,No,No
Affected Studio,Dropdown,Locations list,Class Visibility,Booking & Technology,BT-VIS-003,If specific to location,No,No
Affected Date Range,Text,Date range,Class Visibility,Booking & Technology,BT-VIS-004,What dates are not displaying correctly,No,No
Platform,Dropdown,iOS App | Android App | Website (Desktop) | Website (Mobile),Class Visibility,Booking & Technology,BT-VIS-005,Where they're seeing the issue,Yes,No
Cache Cleared,Checkbox,Yes/No,Class Visibility,Booking & Technology,BT-VIS-006,Did client try clearing cache/refreshing,No,No
Issue Replicated by Staff,Checkbox,Yes/No,Class Visibility,Booking & Technology,BT-VIS-007,Can staff see the same problem,No,No
Transaction Type,Dropdown,New Purchase | Renewal | Upgrade | Additional Credits | Retail Purchase | Other,Payment Gateway,Booking & Technology,BT-PAY-001,What they were trying to pay for,Yes,No
Package/Product,Dropdown,Packages list + Product Categories,Payment Gateway,Booking & Technology,BT-PAY-002,Specific package or product,Yes,No
Amount,Number,INR,Payment Gateway,Booking & Technology,BT-PAY-003,Transaction amount,Yes,No
Payment Method,Dropdown,Credit Card | Debit Card | UPI | Net Banking | Wallet | Other,Payment Gateway,Booking & Technology,BT-PAY-004,Payment method attempted,Yes,No
Issue Type,Dropdown,Transaction Failed | Amount Deducted But Booking Failed | Payment Gateway Timeout | Card Declined | Multiple Charges | Other,Payment Gateway,Booking & Technology,BT-PAY-005,Type of payment issue,Yes,No
Transaction ID,Text,Free text,Payment Gateway,Booking & Technology,BT-PAY-006,Payment gateway transaction reference,No,No
Money Deducted,Dropdown,Yes | No | Unknown,Payment Gateway,Booking & Technology,BT-PAY-007,Was amount charged,Yes,No
Booking Successful,Dropdown,Yes | No | Partial,Payment Gateway,Booking & Technology,BT-PAY-008,Did booking go through,Yes,No
Refund Initiated,Checkbox,Yes/No,Payment Gateway,Booking & Technology,BT-PAY-009,Was refund processed,No,No
Alternative Payment Accepted,Checkbox,Yes/No,Payment Gateway,Booking & Technology,BT-PAY-010,Was alternate payment method used,No,No
Support Channel Used,Dropdown,Email | Phone | In-App Chat | Social Media DM | Walk-in,Technical Support,Booking & Technology,BT-TECH-001,How client contacted tech support,Yes,No
Issue Reported to Support,Long Text,Free text,Technical Support,Booking & Technology,BT-TECH-002,What issue they reported,Yes,No
Response Time,Dropdown,Immediate | Within 1 Hour | Within 24 Hours | 24-48 Hours | No Response Yet | Other,Technical Support,Booking & Technology,BT-TECH-003,How quickly support responded,Yes,No
Issue Type,Dropdown,No Response | Slow Response | Unresolved | Generic Response | Poor Solution Quality | Other,Technical Support,Booking & Technology,BT-TECH-004,Support quality issue,Yes,No
Previous Ticket Number,Text,Free text,Technical Support,Booking & Technology,BT-TECH-005,If this is a follow-up,No,No
Escalation Required,Checkbox,Yes/No,Technical Support,Booking & Technology,BT-TECH-006,Should this go to tech team lead,Yes,No
Temporary Solution Provided,Long Text,Free text,Technical Support,Booking & Technology,BT-TECH-007,What workaround was offered,No,No
Staff Member Involved,Dropdown,Associates list,Front Desk Service,Customer Service,CS-DESK-001,Which staff member,No,No
Issue Type,Dropdown,Rude Behavior | Unhelpful Attitude | Lack of Knowledge | Inattentive | Unprofessional Conduct | Other,Front Desk Service,Customer Service,CS-DESK-002,Nature of service issue,Yes,No
Specific Incident,Long Text,Free text area,Front Desk Service,Customer Service,CS-DESK-003,What exactly happened,Yes,No
Client Request/Query,Text,Free text,Front Desk Service,Customer Service,CS-DESK-004,What did client need,Yes,No
Request Fulfilled,Dropdown,Yes - Immediately | Yes - After Delay | No - Unable to Fulfill | No - Refused,Front Desk Service,Customer Service,CS-DESK-005,Was request handled,Yes,No
Witness Present,Dropdown,Yes - Staff | Yes - Other Client | No,Front Desk Service,Customer Service,CS-DESK-006,Was anyone else present,No,No
Apology Given,Checkbox,Yes/No,Front Desk Service,Customer Service,CS-DESK-007,Was client apologized to,No,No
Escalated to Manager,Checkbox,Yes/No,Front Desk Service,Customer Service,CS-DESK-008,Was manager involved,No,No
Communication Channel,Dropdown,Email | Phone Call | WhatsApp | Social Media DM | In-Person Follow-up Promised,Response Time,Customer Service,CS-RESP-001,How client was supposed to be contacted,Yes,No
Initial Contact Date,DateTime,Date/time picker,Response Time,Customer Service,CS-RESP-002,When client first reached out,Yes,No
Issue Reported,Long Text,Free text,Response Time,Customer Service,CS-RESP-003,What they were contacting about,Yes,No
Response Received,Dropdown,Yes - Late | No Response Yet | Partial Response,Response Time,Customer Service,CS-RESP-004,Did they get a response,Yes,No
Actual Response Date,DateTime,Date/time picker,Response Time,Customer Service,CS-RESP-005,When response was received,No,No
Follow-up Promised,Checkbox,Yes/No,Response Time,Customer Service,CS-RESP-006,Was follow-up commitment made,No,No
Follow-up Done,Checkbox,Yes/No,Response Time,Customer Service,CS-RESP-007,Was follow-up actually done,No,No
Staff Responsible,Dropdown,Associates list,Response Time,Customer Service,CS-RESP-008,Who was supposed to respond,No,No
Original Issue,Long Text,Free text area,Issue Resolution,Customer Service,CS-RESOL-001,What was the original complaint,Yes,No
Date First Reported,Date,Date picker,Issue Resolution,Customer Service,CS-RESOL-002,When was it first reported,Yes,No
Issue Type,Dropdown,Still Unresolved | Passed Between Departments | No Clear Owner | Resolution Inadequate | Other,Issue Resolution,Customer Service,CS-RESOL-003,Resolution problem type,Yes,No
Departments Involved,Multi-select,Operations | Facilities | Training | Sales | Client Success | Marketing | Finance,Issue Resolution,Customer Service,CS-RESOL-004,Which teams have handled this,No,No
Number of Contacts,Number,Numeric,Issue Resolution,Customer Service,CS-RESOL-005,How many times client has followed up,No,No
Current Status,Dropdown,Open | In Progress | Waiting on Client | Waiting on Internal Team | Escalated,Issue Resolution,Customer Service,CS-RESOL-006,Where does it stand now,Yes,No
Resolution Offered,Long Text,Free text,Issue Resolution,Customer Service,CS-RESOL-007,What solution was proposed,No,No
Client Satisfied with Resolution,Dropdown,Yes | No | Partially | Too Early to Tell,Issue Resolution,Customer Service,CS-RESOL-008,Client's acceptance of resolution,No,No
Compensation Offered,Text,Free text,Issue Resolution,Customer Service,CS-RESOL-009,Any credits/refund/free class given,No,No
Issue Type,Dropdown,Poor Communication | Language Barrier | Unclear Information | Conflicting Information | Tone Issues | Other,Communication Quality,Customer Service,CS-COMM-001,Communication problem type,Yes,No
Communication Channel,Dropdown,In-Person | Phone | Email | WhatsApp | Social Media,Communication Quality,Customer Service,CS-COMM-002,How communication happened,Yes,No
Staff Member Involved,Dropdown,Associates list,Communication Quality,Customer Service,CS-COMM-003,Who communicated with client,No,No
Language Issue,Dropdown,English | Hindi | Other | None,Communication Quality,Customer Service,CS-COMM-004,If language was a barrier,No,No
Topic Discussed,Text,Free text,Communication Quality,Customer Service,CS-COMM-005,What was being discussed,Yes,No
Conflicting Info Source,Text,Free text,Communication Quality,Customer Service,CS-COMM-006,"If conflicting, who said what",No,No
Clarification Provided,Checkbox,Yes/No,Communication Quality,Customer Service,CS-COMM-007,Was issue clarified immediately,Yes,No
Documentation Provided,Checkbox,Yes/No,Communication Quality,Customer Service,CS-COMM-008,Was written clarification given,No,No
Staff Member,Dropdown,Associates list,Staff Knowledge,Customer Service,CS-KNOW-001,Which staff member,No,No
Knowledge Gap Area,Dropdown,Class Details | Membership Packages | Billing/Credits | Studio Policies | Instructor Schedules | Special Programs | Other,Staff Knowledge,Customer Service,CS-KNOW-002,What they didn't know,Yes,No
Client Query,Text,Free text,Staff Knowledge,Customer Service,CS-KNOW-003,What was the client's question,Yes,No
Incorrect Information Given,Checkbox,Yes/No,Staff Knowledge,Customer Service,CS-KNOW-004,Did staff give wrong info,Yes,No
Incorrect Info Details,Text,Free text,Staff Knowledge,Customer Service,CS-KNOW-005,What incorrect info was given,No,No
Correct Info Provided Later,Checkbox,Yes/No,Staff Knowledge,Customer Service,CS-KNOW-006,Was it corrected,No,No
Client Had to Contact Multiple Staff,Checkbox,Yes/No,Staff Knowledge,Customer Service,CS-KNOW-007,Did client get passed around,No,No
Issue Type,Dropdown,No One at Desk | Long Wait Time | Understaffed | Staff Busy with Other Tasks | Other,Staff Availability,Customer Service,CS-AVAIL-001,Availability issue type,Yes,No
Time of Day,Dropdown,Morning (6-10am) | Midday (10am-2pm) | Afternoon (2-6pm) | Evening (6-10pm),Staff Availability,Customer Service,CS-AVAIL-002,When did this occur,Yes,No
Wait Time,Dropdown,Under 5 min | 5-10 min | 10-15 min | 15+ min,Staff Availability,Customer Service,CS-AVAIL-003,How long client waited,No,No
Reason for Delay,Text,Free text,Staff Availability,Customer Service,CS-AVAIL-004,Why no staff was available,No,No
Client Need,Dropdown,Check-in Help | Booking Issue | Question | Purchase | Complaint | Other,Staff Availability,Customer Service,CS-AVAIL-005,What did client need,Yes,No
Peak Hour,Checkbox,Yes/No,Staff Availability,Customer Service,CS-AVAIL-006,Was this during busy time,No,No
Eventually Served,Checkbox,Yes/No,Staff Availability,Customer Service,CS-AVAIL-007,Was client helped eventually,Yes,No
Original Complaint Category,Dropdown,Issue Categories list,Complaint Handling,Customer Service,CS-COMPL-001,What was the complaint about,Yes,No
Issue Type,Dropdown,Dismissive Attitude | Defensive Response | No Escalation Option | Not Taken Seriously | Other,Complaint Handling,Customer Service,CS-COMPL-002,How complaint was mishandled,Yes,No
Staff Member Who Received Complaint,Dropdown,Associates list,Complaint Handling,Customer Service,CS-COMPL-003,Who client complained to,No,No
Client's Expectation,Text,Free text,Complaint Handling,Customer Service,CS-COMPL-004,What did client want,No,No
Response Given,Long Text,Free text,Complaint Handling,Customer Service,CS-COMPL-005,How staff responded,Yes,No
Escalation Requested,Checkbox,Yes/No,Complaint Handling,Customer Service,CS-COMPL-006,Did client ask for manager,No,No
Escalation Allowed,Checkbox,Yes/No,Complaint Handling,Customer Service,CS-COMPL-007,Was escalation permitted,No,No
Manager Involvement,Dropdown,Yes - Immediately | Yes - After Delay | No,Complaint Handling,Customer Service,CS-COMPL-008,Did manager get involved,No,No
Phone Number Called,Dropdown,Studio phone numbers,Phone Support,Customer Service,CS-PHONE-001,Which number they called,Yes,No
Issue Type,Dropdown,No Answer | Long Hold Time | Call Disconnected | No Callback | Wrong Extension | Other,Phone Support,Customer Service,CS-PHONE-002,Phone support issue,Yes,No
Time of Call,DateTime,Date/time picker,Phone Support,Customer Service,CS-PHONE-003,When they called,Yes,No
Hold Duration,Dropdown,Under 2 min | 2-5 min | 5-10 min | 10+ min | No Answer,Phone Support,Customer Service,CS-PHONE-004,How long they waited,No,No
Reason for Call,Text,Free text,Phone Support,Customer Service,CS-PHONE-005,What they were calling about,Yes,No
Call Attempts,Number,Numeric,Phone Support,Customer Service,CS-PHONE-006,How many times they tried,No,No
Eventually Connecte,,,,,,,,
Channel,Dropdown,Email | In-App Chat | WhatsApp | Website Chat,Email/Chat Support,Customer Service,CS-EMAIL-001,Which channel used,Yes,No
Issue Type,Dropdown,Slow Response | Generic Reply | Issue Not Resolved | Auto-Reply Only | Other,Email/Chat Support,Customer Service,CS-EMAIL-002,Support issue type,Yes,No
Date Sent,DateTime,Date/time picker,Email/Chat Support,Customer Service,CS-EMAIL-003,When client sent message,Yes,No
Subject/Topic,Text,Free text,Email/Chat Support,Customer Service,CS-EMAIL-004,What was it about,Yes,No
Response Time,Dropdown,Under 1 Hour | 1-4 Hours | 4-24 Hours | 24-48 Hours | 48+ Hours | No Response,Email/Chat Support,Customer Service,CS-EMAIL-005,How long until reply,No,No
Response Quality,Dropdown,Helpful | Generic | Unhelpful | Irrelevant,Email/Chat Support,Customer Service,CS-EMAIL-006,Quality of response received,No,No
Issue Resolved via Channel,Checkbox,Yes/No,Email/Chat Support,Customer Service,CS-EMAIL-007,Was it solved through email/chat,No,No
Escalation to Call/In-Person,Checkbox,Yes/No,Email/Chat Support,Customer Service,CS-EMAIL-008,Did it need phone/visit,No,No
Staff Member,Dropdown,Associates list,Staff Professionalism,Customer Service,CS-PROF-001,Which staff member,No,No
Issue Type,Dropdown,Gossiping | Using Personal Phone | Eating at Desk | Inappropriate Conversation | Unprofessional Attire | Other,Staff Professionalism,Customer Service,CS-PROF-002,Professional conduct issue,Yes,No
Incident Details,Long Text,Free text area,Staff Professionalism,Customer Service,CS-PROF-003,What happened,Yes,No
Client Impact,Dropdown,Overheard by Client | Client Had to Wait | Client Felt Uncomfortable | No Direct Impact,Staff Professionalism,Customer Service,CS-PROF-004,How it affected client,Yes,No
Witness Present,Dropdown,Yes - Staff | Yes - Other Client | No,Staff Professionalism,Customer Service,CS-PROF-005,Anyone else see this,No,No
Addressed Immediately,Checkbox,Yes/No,Staff Professionalism,Customer Service,CS-PROF-006,Was staff spoken to on spot,No,No
Client's First Visit Date,Date,Date picker,Newcomer Experience,Customer Service,CS-NEW-001,When was their first class,Yes,No
Issue Type,Dropdown,No Orientation | Poor Onboarding | Lack of Guidance | Not Welcomed | Studio Tour Missing | Other,Newcomer Experience,Customer Service,CS-NEW-002,Onboarding issue type,Yes,No
Staff Who Greeted,Dropdown,Associates list,Newcomer Experience,Customer Service,CS-NEW-003,Who welcomed them,No,No
Orientation Provided,Checkbox,Yes/No,Newcomer Experience,Customer Service,CS-NEW-004,Did they get facility tour,No,No
Class Explanation Given,Checkbox,Yes/No,Newcomer Experience,Customer Service,CS-NEW-005,Was class format explained,No,No
Equipment Demo Provided,Checkbox,Yes/No,Newcomer Experience,Customer Service,CS-NEW-006,Did they learn to use equipment,No,No
Questions Answered,Checkbox,Yes/No,Newcomer Experience,Customer Service,CS-NEW-007,Were their questions addressed,No,No
Client's First Class,Dropdown,Classes list,Newcomer Experience,Customer Service,CS-NEW-008,Which class they attended,No,No
Felt Welcomed,Dropdown,Yes | Somewhat | No,Newcomer Experience,Customer Service,CS-NEW-009,Client's feeling about experience,No,No
Sales Staff Member,Dropdown,Associates list,Misleading Information,Sales & Marketing,SM-MISL-001,Who did the sales pitch,No,No
Issue Type,Dropdown,False Promise | Exaggerated Benefits | Hidden Terms | Pressure Tactics | Incorrect Package Info | Other,Misleading Information,Sales & Marketing,SM-MISL-002,Type of misleading info,Yes,No
What Was Promised,Long Text,Free text area,Misleading Information,Sales & Marketing,SM-MISL-003,What client was told,Yes,No
What Was Actually True,Long Text,Free text area,Misleading Information,Sales & Marketing,SM-MISL-004,What the reality is,Yes,No
Package/Product Sold,Dropdown,Packages list,Misleading Information,Sales & Marketing,SM-MISL-005,What package was purchased,Yes,No
Sale Date,Date,Date picker,Misleading Information,Sales & Marketing,SM-MISL-006,When purchase was made,Yes,No
Written Documentation,Dropdown,Yes - Contract/Email | No - Verbal Only,Misleading Information,Sales & Marketing,SM-MISL-007,Was anything in writing,No,No
Client Seeking,Dropdown,Refund | Package Change | Clarification | Complaint Only,Misleading Information,Sales & Marketing,SM-MISL-008,What does client want,Yes,No
Resolution Offered,Long Text,Free text,Misleading Information,Sales & Marketing,SM-MISL-009,How was it resolved,No,No
Sales Staff Member,Dropdown,Associates list,Aggressive Selling,Sales & Marketing,SM-AGG-001,Who contacted client,No,No
Issue Type,Dropdown,Excessive Follow-ups | Pressure to Upgrade | Unwanted Sales Calls | Sales During Class Time | Hard Sell Tactics | Other,Aggressive Selling,Sales & Marketing,SM-AGG-002,Type of aggressive selling,Yes,No
Contact Method,Multi-select,Phone Calls | WhatsApp | Email | In-Person | SMS,Aggressive Selling,Sales & Marketing,SM-AGG-003,How client was contacted,Yes,No
Frequency,Dropdown,Daily | Multiple Times Daily | Weekly | After Each Class | Other,Aggressive Selling,Sales & Marketing,SM-AGG-004,How often contacted,No,No
Product/Package Pushed,Dropdown,Packages list,Aggressive Selling,Sales & Marketing,SM-AGG-005,What they were selling,No,No
Client Status,Dropdown,Existing Active | Existing Inactive | Trial Client | New Prospect,Aggressive Selling,Sales & Marketing,SM-AGG-006,Client's membership status,Yes,No
Client Requested to Stop,Checkbox,Yes/No,Aggressive Selling,Sales & Marketing,SM-AGG-007,Did client ask them to stop,No,No
Contact Continued After Request,Checkbox,Yes/No,Aggressive Selling,Sales & Marketing,SM-AGG-008,Did follow-ups continue anyway,No,No
Client Added to Do Not Contact,Checkbox,Yes/No,Aggressive Selling,Sales & Marketing,SM-AGG-009,Was preference updated,No,No
Trial Class Date,Date,Date picker,Trial Class Experience,Sales & Marketing,SM-TRIAL-001,When was trial class,Yes,No
Class Attended,Dropdown,Classes list,Trial Class Experience,Sales & Marketing,SM-TRIAL-002,Which class,Yes,No
Instructor,Dropdown,Trainers list,Trial Class Experience,Sales & Marketing,SM-TRIAL-003,Who taught,Yes,No
Issue Type,Dropdown,Poor Experience | No Introduction | Rushed Enrollment | Hard Sell After Class | No Follow-up | Other,Trial Class Experience,Sales & Marketing,SM-TRIAL-004,Trial experience issue,Yes,No
Pre-Class Orientation,Checkbox,Yes/No,Trial Class Experience,Sales & Marketing,SM-TRIAL-005,Was orientation given,No,No
Met with Sales After,Checkbox,Yes/No,Trial Class Experience,Sales & Marketing,SM-TRIAL-006,Did they meet sales staff,No,No
Pressure to Purchase,Dropdown,No Pressure | Mild | Moderate | High Pressure,Trial Class Experience,Sales & Marketing,SM-TRIAL-007,Level of sales pressure,No,No
Purchased Package,Checkbox,Yes/No,Trial Class Experience,Sales & Marketing,SM-TRIAL-008,Did they buy membership,No,No
Would Recommend Trial,Dropdown,Yes | Maybe | No,Trial Class Experience,Sales & Marketing,SM-TRIAL-009,Would they recommend to others,No,No
Issue Type,Dropdown,Too Many Emails | Too Many SMS | Spam Messages | Irrelevant Offers | Duplicate Messages | Other,Communication Overload,Sales & Marketing,SM-OVER-001,Type of overload,Yes,No
Communication Channel,Multi-select,Email | SMS | WhatsApp | Push Notifications,Communication Overload,Sales & Marketing,SM-OVER-002,Which channels,Yes,No
Frequency,Dropdown,Multiple Times Daily | Daily | Several Times Weekly | Weekly,Communication Overload,Sales & Marketing,SM-OVER-003,How often receiving messages,No,No
Content Type,Multi-select,Promotional Offers | Class Reminders | New Classes | Events | General Updates | Other,Communication Overload,Sales & Marketing,SM-OVER-004,What kind of messages,No,No
Relevance,Dropdown,All Irrelevant | Mostly Irrelevant | Some Relevant | Mostly Relevant,Communication Overload,Sales & Marketing,SM-OVER-005,How relevant to client,No,No
Unsubscribe Attempted,Checkbox,Yes/No,Communication Overload,Sales & Marketing,SM-OVER-006,Did they try to unsubscribe,No,No
Unsubscribe Successful,Checkbox,Yes/No,Communication Overload,Sales & Marketing,SM-OVER-007,Did unsubscribe work,No,No
