Category,Subcategories,Description
Sales & Marketing,Brand Communication,"Inconsistent messaging, tone mismatch, cultural insensitivity"
Health & Safety,Hygiene Protocols,"Inadequate sanitization, no mask enforcement (if applicable), surface cleaning"
Health & Safety,Injury During Class,"Lack of first aid, no incident report, inadequate response to injury"
Health & Safety,Emergency Preparedness,"No fire exits marked, missing first aid kit, no emergency protocols"
Health & Safety,COVID/Health Protocols,"Not following guidelines, no temperature checks, crowding"
Health & Safety,Medical Disclosure,"Not collecting health information, ignoring disclosed conditions"
Health & Safety,Equipment Safety,"Unsafe equipment, no safety checks, sharp edges, unstable props"
Health & Safety,Air Quality,"Poor ventilation, strong odors, chemical smells, stuffy environment"
Community & Culture,Clique Behavior,"Exclusivity among members, unwelcoming environment, favoritism"
Community & Culture,Discrimination,"Based on body type, fitness level, age, gender, appearance"
Community & Culture,Member Behavior,"Disruptive members, loud conversations, phone usage during class"
Community & Culture,Inclusivity Issues,"Not welcoming to beginners, lack of body positivity, judgmental atmosphere"
Community & Culture,Community Events,"Lack of community building, poor event execution, limited engagement opportunities"
Community & Culture,Studio Culture,"Toxic environment, comparison culture, lack of support"
Retail & Merchandise,Product Quality,"Poor quality merchandise, sizing issues, defective products"
Retail & Merchandise,Product Availability,"Out of stock, limited options, size unavailability"
Retail & Merchandise,Pricing,"Overpriced, no value for money, hidden charges"
Retail & Merchandise,Return/Exchange,"Difficult policy, no refunds, exchange restrictions"
Retail & Merchandise,Staff Knowledge,"Uninformed about products, wrong recommendations"
Special Programs,Workshop Quality,"Poor instructor, not worth the fee, disorganized, overcrowded"
Special Programs,Private Sessions,"Instructor unavailability, scheduling conflicts, pricing disputes, quality issues"
Special Programs,Corporate Programs,"Poor coordination, unsuitable timing, lack of customization"
Special Programs,Special Needs Programs,"Lack of options for seniors/prenatal/postnatal, modifications inadequate"
Special Programs,Challenges & Competitions,"Poor organization, unfair rules, unclear guidelines, prizes not delivered"
Miscellaneous,Noise Disturbance,"From other studios, external noise, loud construction"
Miscellaneous,Policy Changes,"Not communicated properly, sudden changes, unfair policies"
Miscellaneous,Guest Experience,"Poor treatment of non-members, complicated guest policies"
Miscellaneous,Lost & Found,"Lost items not found, no system in place, items misplaced"
Miscellaneous,Nutrition/Wellness Advice,"Unqualified advice, conflicting information, pushy supplement sales"
Miscellaneous,Multi-location Issues,"Credits not transferring, different policies across studios, booking confusion"
Miscellaneous,Feedback System,"Difficulty providing feedback, no response to feedback, retaliation for negative feedback"
